,close,high,low,open,volume
2019-06-28,2930.6,2937.29,2911.67,2932.69,2370867100.0
2019-07-01,3002.94,3011.91,2978.75,2984.65,4262271400.0
2019-07-02,2999.08,3003.88,2988.47,3000.78,3462948800.0
2019-07-03,2964.73,2990.05,2953.7,2990.05,3391896500.0
2019-07-04,2953.27,2974.8,2939.97,2966.33,3292883400.0
2019-07-05,2961.92,2967.98,2937.6,2952.71,2384534500.0
2019-07-08,2897.51,2944.97,2877.74,2944.97,3373258800.0
2019-07-09,2881.55,2902.14,2872.03,2894.33,2137470000.0
2019-07-10,2878.78,2897.58,2870.67,2896.7,1891152100.0
2019-07-11,2887.83,2918.94,2879.64,2897.47,2115726600.0
2019-07-12,2902.13,2912.9,2878.2,2883.09,2145421000.0
2019-07-15,2902.61,2920.16,2850.1,2885.98,2819610600.0
2019-07-16,2884.56,2905.11,2881.4,2900.05,1741151700.0
2019-07-17,2875.03,2892.34,2866.47,2877.49,1809983000.0
2019-07-18,2859.16,2872.24,2859.07,2869.73,1954208600.0
2019-07-19,2895.62,2906.55,2875.9,2875.96,2245108900.0
2019-07-22,2881.9,2905.35,2872.53,2897.79,2360318400.0
2019-07-23,2881.1,2889.39,2871.51,2885.7,2044874800.0
2019-07-24,2906.55,2923.4,2894.59,2894.94,2601987100.0
2019-07-25,2931.18,2931.18,2903.31,2911.01,2293311300.0
2019-07-26,2939.35,2943.07,2918.01,2918.11,2352186400.0
2019-07-29,2930.49,2938.73,2922.68,2936.64,2237200500.0
2019-07-30,2944.03,2958.3,2938.9,2939.14,2269698000.0
2019-07-31,2912.66,2932.65,2906.71,2931.85,2388803400.0
2019-08-01,2887.87,2909.47,2880.3,2901.15,2427168300.0
2019-08-02,2843.77,2852.12,2831.66,2837.37,2994396800.0
2019-08-05,2786.72,2828.48,2785.9,2823.35,2835097600.0
2019-08-06,2760.68,2771.79,2718.21,2736.68,3694169100.0
2019-08-07,2747.25,2773.94,2747.25,2771.24,2458846400.0
2019-08-08,2786.87,2790.14,2768.71,2771.45,2940696000.0
2019-08-09,2772.15,2802.81,2767.14,2800.44,2538096600.0
2019-08-12,2824.8,2825.09,2782.77,2787.44,2213699700.0
2019-08-13,2792.91,2812.49,2787.12,2807.96,2146403400.0
2019-08-14,2804.36,2831.34,2803.86,2827.04,2610822100.0
2019-08-15,2814.39,2815.15,2756.38,2758.74,2528467500.0
2019-08-16,2824.23,2846.26,2805.81,2817.27,2414732800.0
2019-08-19,2877.23,2877.47,2823.87,2839.25,4191116700.0
2019-08-20,2875.65,2883.55,2864.71,2869.16,2981758300.0
2019-08-21,2869.22,2875.01,2864.81,2868.63,2163744400.0
2019-08-22,2878.0,2881.06,2862.44,2878.73,2049305700.0
2019-08-23,2917.38,2923.93,2876.02,2880.57,2413805700.0
2019-08-26,2863.48,2882.45,2854.51,2869.46,2643657800.0
2019-08-27,2887.24,2915.84,2881.0,2883.42,3574136800.0
2019-08-28,2867.03,2887.85,2860.71,2883.35,2361076500.0
2019-08-29,2855.45,2871.63,2843.28,2867.77,2238667000.0
2019-08-30,2872.4,2886.35,2856.03,2878.21,2592297500.0
2019-09-02,2894.96,2902.41,2866.75,2871.29,2975321400.0
2019-09-03,2892.18,2900.76,2878.1,2897.29,2590498200.0
2019-09-04,2919.68,2919.68,2887.59,2888.97,3764714400.0
2019-09-05,2955.84,2988.21,2938.14,2938.14,5285227200.0
2019-09-06,2981.07,2981.24,2955.82,2974.8,3146536700.0
2019-09-09,2981.59,3008.67,2974.23,3004.8,3869579800.0
2019-09-10,2969.8,2988.06,2958.31,2987.51,3603467800.0
2019-09-11,2957.14,2980.66,2946.57,2978.97,3519933500.0
2019-09-12,2999.56,3001.23,2963.45,2970.01,3182441000.0
2019-09-16,2982.45,3004.88,2972.58,3003.65,3253393900.0
2019-09-17,2937.01,2974.01,2929.31,2974.01,3072249500.0
2019-09-18,2954.36,2967.86,2947.68,2947.97,2335392300.0
2019-09-19,2956.83,2965.11,2941.66,2965.03,2094280900.0
2019-09-20,2963.43,2970.72,2956.92,2964.92,3023002800.0
2019-09-23,2930.91,2955.26,2916.43,2955.26,2378264600.0
2019-09-24,2940.08,2956.29,2929.6,2936.95,2273229600.0
2019-09-25,2928.84,2942.0,2923.15,2930.14,2252651200.0
2019-09-26,2927.88,2952.87,2926.54,2939.68,3146691800.0
2019-09-27,2929.47,2934.33,2916.07,2929.32,2301456100.0
2019-09-30,2897.7,2933.51,2897.68,2917.07,1923302100.0
2019-10-08,2922.35,2938.87,2898.53,2898.53,2496138800.0
2019-10-09,2922.98,2931.64,2896.26,2908.17,2613601800.0
2019-10-10,2940.8,2944.02,2910.35,2917.82,2199613300.0
2019-10-11,2983.12,2989.75,2945.01,2952.47,3117712300.0
2019-10-14,3013.53,3040.5,2997.66,3007.36,4254331500.0
2019-10-15,3015.42,3019.29,3005.87,3018.86,2544608300.0
2019-10-16,3004.72,3043.45,2999.38,3015.17,2625636700.0
2019-10-17,3011.75,3018.65,2997.84,3009.69,1893610700.0
2019-10-18,2963.18,3027.61,2961.13,3020.01,2463127100.0
2019-10-21,2968.91,2973.79,2950.3,2957.97,2422354300.0
2019-10-22,2973.22,2983.84,2956.9,2983.84,2100126200.0
2019-10-23,2954.31,2977.68,2945.84,2969.98,2263301200.0
2019-10-24,2959.03,2976.37,2945.68,2963.34,2448273900.0
2019-10-25,2967.05,2970.54,2935.06,2955.51,2452258300.0
2019-10-28,2981.36,2984.94,2962.4,2967.63,2849021300.0
2019-10-29,2968.28,2984.35,2968.21,2982.45,2180299300.0
2019-10-30,2952.12,2971.9,2946.97,2966.76,2182011500.0
2019-10-31,2954.73,2966.59,2948.33,2964.91,2627764700.0
2019-11-01,3002.65,3005.18,2947.6,2953.74,2887993900.0
2019-11-04,3022.27,3025.64,3011.2,3012.94,3090697200.0
2019-11-05,3039.98,3065.93,3015.8,3024.87,3835986200.0
2019-11-06,3032.79,3045.46,3024.75,3041.42,2917481600.0
2019-11-07,3033.3,3044.72,3021.69,3034.16,2331794600.0
2019-11-08,3012.46,3055.6,3011.37,3052.69,2829701200.0
2019-11-11,2965.71,2995.14,2962.68,2995.14,2851182700.0
2019-11-12,2971.36,2978.17,2954.78,2973.0,2052769500.0
2019-11-13,2967.67,2976.26,2955.1,2967.62,2262181200.0
2019-11-14,2968.57,2980.7,2964.92,2975.48,2212354800.0
2019-11-15,2954.7,2976.37,2953.76,2972.48,2202956100.0
2019-11-18,2980.95,2985.97,2949.47,2954.78,2387630000.0
2019-11-19,3000.75,3000.75,2973.57,2973.57,2426587100.0
2019-11-20,2968.12,2996.51,2962.71,2991.42,2251169600.0
2019-11-21,2949.34,2957.35,2940.15,2957.07,2191445200.0
2019-11-22,2922.27,2967.78,2913.18,2952.77,2680202100.0
2019-11-25,2951.25,2951.79,2925.4,2926.15,3330221100.0
2019-11-26,2946.57,2965.39,2943.55,2962.37,3022543000.0
2019-11-27,2944.32,2953.39,2933.28,2948.34,2035937700.0
2019-11-28,2930.48,2952.26,2922.55,2945.34,1777334600.0
2019-11-29,2894.72,2927.25,2879.93,2923.45,2079015000.0
2019-12-02,2899.44,2913.74,2893.42,2896.51,2133463800.0
2019-12-03,2909.62,2909.95,2876.52,2892.42,1908833300.0
2019-12-04,2901.07,2903.94,2887.84,2902.13,1943816800.0
2019-12-05,2921.95,2927.34,2907.77,2912.94,2246451100.0
2019-12-06,2939.82,2939.82,2922.43,2928.36,2138357600.0
2019-12-09,2933.04,2945.27,2923.79,2944.16,2503409500.0
2019-12-10,2936.99,2937.78,2923.75,2925.95,2024609300.0
2019-12-11,2949.65,2953.94,2934.04,2947.54,2359299900.0
2019-12-12,2938.04,2954.4,2934.0,2954.4,2068984200.0
2019-12-13,3006.31,3006.31,2967.85,2968.86,4189458200.0
2019-12-16,2999.2,2999.53,2983.19,2999.5,3342979200.0
2019-12-17,3033.14,3053.83,2991.08,3000.78,4734733500.0
2019-12-18,3025.78,3041.83,3020.95,3031.89,3249261900.0
2019-12-19,3017.71,3029.7,3009.87,3027.67,2692909200.0
2019-12-20,3012.63,3033.56,3009.38,3022.12,2509222800.0
2019-12-23,2984.24,3028.56,2982.02,3015.29,2745002300.0
2019-12-24,2996.77,2999.08,2982.42,2985.62,2227545300.0
2019-12-25,2986.0,2993.56,2976.91,2993.36,2138487600.0
2019-12-26,3011.64,3011.64,2985.53,2986.31,2305582400.0
2019-12-27,3017.78,3047.61,3012.03,3012.03,3442027400.0
2019-12-30,3062.75,3065.25,3007.96,3016.2,4366664700.0
2019-12-31,3063.22,3065.38,3043.93,3057.3,3107404300.0
2020-01-02,3090.83,3107.52,3073.93,3073.93,5003639200.0
2020-01-03,3078.28,3097.41,3072.11,3097.25,3718549300.0
2020-01-06,3056.84,3090.84,3040.19,3062.28,4770782700.0
2020-01-07,3074.02,3080.27,3061.56,3063.75,3437178800.0
2020-01-08,3037.85,3058.7,3030.1,3058.36,3765377300.0
2020-01-09,3067.55,3071.54,3055.99,3060.77,3315051500.0
2020-01-10,3067.88,3081.96,3058.16,3079.08,2854238900.0
2020-01-13,3090.13,3090.13,3054.88,3069.68,2933083500.0
2020-01-14,3080.6,3108.18,3078.46,3097.72,3512901700.0
2020-01-15,3058.01,3086.97,3052.7,3078.25,2811608600.0
2020-01-16,3043.09,3068.2,3039.07,3067.95,2831231800.0
2020-01-17,3053.17,3067.56,3042.59,3054.04,2330451400.0
2020-01-20,3065.99,3072.29,3054.45,3070.67,2727484900.0
2020-01-21,3012.11,3050.82,3011.18,3048.95,3280129100.0
2020-01-22,3017.88,3023.9,2965.66,2996.81,3315976000.0
2020-01-23,2932.49,2993.77,2910.39,2993.77,4283935200.0
2020-02-03,2727.09,2755.84,2676.01,2676.01,5860918400.0
2020-02-04,2794.66,2796.71,2724.13,2724.13,5701636900.0
2020-02-05,2812.9,2833.21,2782.42,2803.74,4418207000.0
2020-02-06,2854.89,2866.39,2809.37,2829.51,4213425100.0
2020-02-07,2851.71,2851.82,2819.67,2836.8,3444362800.0
2020-02-10,2850.06,2854.83,2817.77,2826.8,3365493400.0
2020-02-11,2879.86,2893.07,2854.07,2858.92,3602824400.0
2020-02-12,2895.59,2895.93,2870.77,2876.67,3123075000.0
2020-02-13,2875.48,2906.72,2871.26,2898.4,3743476400.0
2020-02-14,2895.06,2900.2,2870.63,2870.71,3512599600.0
2020-02-17,2950.07,2950.28,2898.59,2901.69,4529653200.0
2020-02-18,2924.4,2944.43,2914.96,2940.65,3809899100.0
2020-02-19,2923.76,2942.35,2914.59,2917.12,4027025200.0
2020-02-20,2978.18,2981.27,2920.8,2931.37,5022984700.0
2020-02-21,2968.14,2991.06,2959.51,2965.6,4692015200.0
2020-02-24,2930.03,2953.29,2922.16,2949.98,4863757300.0
2020-02-25,2909.32,2912.16,2869.64,2891.98,5315794800.0
2020-02-26,2901.67,2930.02,2872.83,2877.46,6296502900.0
2020-02-27,2912.04,2927.2,2903.75,2904.87,4215225000.0
2020-02-28,2821.04,2880.79,2818.43,2860.28,5847996500.0
2020-03-02,2907.89,2922.95,2837.77,2837.77,5488477600.0
2020-03-03,2921.44,2948.55,2910.76,2941.68,5316139800.0
2020-03-04,2947.57,2949.57,2919.37,2921.07,4256954900.0
2020-03-05,3018.07,3023.12,2956.65,2966.69,6049796600.0
2020-03-06,2964.83,2999.49,2962.4,2989.76,4185528800.0
2020-03-09,2868.83,2908.63,2864.49,2908.63,5886474700.0
2020-03-10,2924.22,2935.09,2852.93,2859.87,4805053000.0
2020-03-11,2888.36,2927.83,2888.36,2927.83,3644206200.0
2020-03-12,2841.98,2866.14,2828.29,2858.51,3702363200.0
2020-03-13,2798.77,2826.72,2715.14,2720.61,4906135500.0
2020-03-16,2694.02,2800.18,2689.9,2800.0,4697120600.0
