,close,high,low,open,volume
2019-10-09,3843.24,3845.34,3805.07,3822.61,7585451200.0
2019-10-10,3874.64,3877.14,3829.43,3838.49,7922269400.0
2019-10-11,3911.73,3922.37,3868.84,3885.52,9341257700.0
2019-10-14,3953.24,3983.81,3934.73,3944.86,12239361100.0
2019-10-15,3936.25,3953.16,3928.15,3953.16,8527394900.0
2019-10-16,3922.69,3964.05,3919.02,3939.28,8322970700.0
2019-10-17,3925.22,3935.81,3913.92,3929.39,6486374500.0
2019-10-18,3869.38,3940.54,3864.97,3935.42,8232114000.0
2019-10-21,3880.84,3884.74,3856.04,3865.34,7418291800.0
2019-10-22,3895.88,3897.44,3870.55,3896.31,6891856600.0
2019-10-23,3871.08,3901.42,3862.2,3892.68,7019862500.0
2019-10-24,3870.67,3890.2,3852.58,3877.92,7133457500.0
2019-10-25,3896.79,3899.72,3849.03,3871.77,7745362000.0
2019-10-28,3926.59,3927.8,3897.82,3904.98,9740602000.0
2019-10-29,3910.23,3932.37,3910.23,3929.71,8225707500.0
2019-10-30,3891.23,3908.1,3883.45,3904.72,7787292300.0
2019-10-31,3886.75,3907.15,3878.88,3906.86,8671453900.0
2019-11-01,3952.39,3956.08,3876.42,3883.81,10068961200.0
2019-11-04,3978.12,3985.36,3964.01,3964.01,10419385500.0
2019-11-05,4002.81,4030.64,3970.87,3982.12,11291188000.0
2019-11-06,3984.88,4007.5,3973.78,4006.33,9731295200.0
2019-11-07,3991.87,4005.38,3975.55,3984.55,8725489800.0
2019-11-08,3973.01,4022.04,3971.57,4017.67,9710694800.0
2019-11-11,3902.98,3948.62,3897.55,3948.62,9415562100.0
2019-11-12,3903.69,3914.88,3877.74,3905.96,7654306900.0
2019-11-13,3899.98,3908.42,3882.43,3905.28,7674907800.0
2019-11-14,3905.86,3916.95,3895.14,3905.93,8700844600.0
2019-11-15,3877.09,3915.1,3877.09,3908.49,8373091700.0
2019-11-18,3907.93,3913.1,3868.32,3874.44,7664599300.0
2019-11-19,3947.04,3947.04,3902.38,3904.1,8216102500.0
2019-11-20,3907.86,3943.23,3901.99,3940.13,7681533300.0
2019-11-21,3889.6,3901.83,3875.97,3894.54,6913053800.0
2019-11-22,3849.99,3918.84,3833.5,3894.17,9104263900.0
2019-11-25,3878.21,3878.25,3839.42,3850.97,10606628900.0
2019-11-26,3891.65,3899.11,3869.59,3893.43,11151353700.0
2019-11-27,3875.62,3889.98,3862.7,3883.43,7643730500.0
2019-11-28,3862.3,3887.69,3852.01,3877.9,6523011900.0
2019-11-29,3828.67,3861.66,3804.83,3857.19,7414433100.0
2019-12-02,3836.06,3854.75,3829.31,3835.51,7741217300.0
2019-12-03,3851.09,3851.12,3811.63,3829.21,7361124000.0
2019-12-04,3849.82,3852.99,3831.07,3841.66,7968338500.0
2019-12-05,3879.36,3883.4,3859.82,3863.61,8905119300.0
